system:time_start,Yanco,Sturt_Plains
"Jan 1, 2011",4,6
"Jan 5, 2011",3,4
"Jan 9, 2011",4,2
"Jan 13, 2011",5,5
"Jan 17, 2011",5,4
"Jan 21, 2011",6,7
"Jan 25, 2011",6,7
"Jan 29, 2011",5,8
"Feb 2, 2011",5,8
"Feb 6, 2011",5,8
"Feb 10, 2011",7,3
"Feb 14, 2011",9,14
"Feb 18, 2011",7,10
"Feb 22, 2011",10,9
"Feb 26, 2011",9,8
"Mar 2, 2011",10,2
"Mar 6, 2011",9,5
"Mar 10, 2011",11,2
"Mar 14, 2011",10,8
"Mar 18, 2011",10,9
"Mar 22, 2011",10,10
"Mar 26, 2011",11,7
"Mar 30, 2011",6,4
"Apr 3, 2011",9,9
"Apr 7, 2011",6,8
"Apr 11, 2011",6,8
"Apr 15, 2011",8,11
"Apr 19, 2011",7,10
"Apr 23, 2011",6,9
"Apr 27, 2011",5,8
"May 1, 2011",5,9
"May 5, 2011",5,9
"May 9, 2011",5,8
"May 13, 2011",5,8
"May 17, 2011",5,8
"May 21, 2011",4,6
"May 25, 2011",4,7
"May 29, 2011",4,7
"Jun 2, 2011",5,8
"Jun 6, 2011",4,7
"Jun 10, 2011",5,8
"Jun 14, 2011",5,7
"Jun 18, 2011",2,7
"Jun 22, 2011",5,7
"Jun 26, 2011",4,7
"Jun 30, 2011",4,7
"Jul 4, 2011",5,7
"Jul 8, 2011",3,7
"Jul 12, 2011",3,7
"Jul 16, 2011",2,6
"Jul 20, 2011",5,7
"Jul 24, 2011",4,7
"Jul 28, 2011",3,6
"Aug 1, 2011",4,5
"Aug 5, 2011",5,5
"Aug 9, 2011",5,5
"Aug 13, 2011",5,5
"Aug 17, 2011",5,5
"Aug 21, 2011",5,5
"Aug 25, 2011",5,5
"Aug 29, 2011",5,4
"Sep 2, 2011",5,5
"Sep 6, 2011",6,5
"Sep 10, 2011",6,5
"Sep 14, 2011",6,4
"Sep 18, 2011",6,5
"Sep 22, 2011",6,5
"Sep 26, 2011",5,4
"Sep 30, 2011",3,4
"Oct 4, 2011",4,5
"Oct 8, 2011",5,5
"Oct 12, 2011",7,4
"Oct 16, 2011",7,6
"Oct 20, 2011",7,4
"Oct 24, 2011",8,5
"Oct 28, 2011",6,4
"Nov 1, 2011",5,5
"Nov 5, 2011",5,4
"Nov 9, 2011",5,5
"Nov 13, 2011",3,5
"Nov 17, 2011",5,9
"Nov 21, 2011",4,6
"Nov 25, 2011",3,7
"Nov 29, 2011",5,8
"Dec 3, 2011",4,8
"Dec 7, 2011",3,7
"Dec 11, 2011",3,6
"Dec 15, 2011",4,10
"Dec 19, 2011",4,6
"Dec 23, 2011",3,18
"Dec 27, 2011",3,9
"Dec 31, 2011",3,7
"Jan 1, 2012",3,7
"Jan 5, 2012",3,6
"Jan 9, 2012",3,5
"Jan 13, 2012",7,5
"Jan 17, 2012",3,5
"Jan 21, 2012",2,3
"Jan 25, 2012",2,2
"Jan 29, 2012",3,6
"Feb 2, 2012",3,7
"Feb 6, 2012",3,8
"Feb 10, 2012",7,10
"Feb 14, 2012",2,9
"Feb 18, 2012",3,7
"Feb 22, 2012",2,8
"Feb 26, 2012",1,7
"Mar 1, 2012",0,3
"Mar 5, 2012",5,7
"Mar 9, 2012",5,9
"Mar 13, 2012",5,5
"Mar 17, 2012",7,9
"Mar 21, 2012",7,7
"Mar 25, 2012",6,6
"Mar 29, 2012",9,7
"Apr 2, 2012",7,9
"Apr 6, 2012",6,10
"Apr 10, 2012",6,9
"Apr 14, 2012",7,8
"Apr 18, 2012",5,10
"Apr 22, 2012",8,9
"Apr 26, 2012",7,10
"Apr 30, 2012",7,9
"May 4, 2012",7,9
"May 8, 2012",5,8
"May 12, 2012",7,8
"May 16, 2012",5,7
"May 20, 2012",6,7
"May 24, 2012",5,7
"May 28, 2012",5,7
"Jun 1, 2012",5,7
"Jun 5, 2012",5,7
"Jun 9, 2012",4,5
"Jun 13, 2012",5,7
"Jun 17, 2012",5,5
"Jun 21, 2012",3,5
"Jun 25, 2012",3,3
"Jun 29, 2012",3,5
"Jul 3, 2012",4,3
"Jul 7, 2012",3,5
"Jul 11, 2012",3,5
"Jul 15, 2012",3,4
"Jul 19, 2012",5,4
"Jul 23, 2012",3,5
"Jul 27, 2012",4,4
"Jul 31, 2012",4,4
"Aug 4, 2012",5,3
"Aug 8, 2012",5,3
"Aug 12, 2012",3,3
"Aug 16, 2012",4,3
"Aug 20, 2012",5,3
"Aug 24, 2012",5,3
"Aug 28, 2012",5,3
"Sep 1, 2012",4,3
"Sep 5, 2012",5,3
"Sep 9, 2012",5,3
"Sep 13, 2012",5,3
"Sep 17, 2012",3,4
"Sep 21, 2012",5,3
"Sep 25, 2012",3,3
"Sep 29, 2012",5,3
"Oct 3, 2012",3,3
"Oct 7, 2012",5,3
"Oct 11, 2012",4,3
"Oct 15, 2012",4,3
"Oct 19, 2012",3,3
"Oct 23, 2012",3,3
"Oct 27, 2012",3,3
"Oct 31, 2012",3,3
"Nov 4, 2012",3,3
"Nov 8, 2012",3,4
"Nov 12, 2012",3,3
"Nov 16, 2012",3,3
"Nov 20, 2012",3,3
"Nov 24, 2012",2,3
"Nov 28, 2012",3,3
"Dec 2, 2012",3,3
"Dec 6, 2012",2,3
"Dec 10, 2012",3,3
"Dec 14, 2012",2,2
"Dec 18, 2012",2,2
"Dec 22, 2012",2,3
"Dec 26, 2012",2,5
"Dec 30, 2012",2,5
"Jan 1, 2013",2,5
"Jan 5, 2013",3,5
"Jan 9, 2013",2,5
"Jan 13, 2013",2,4
"Jan 17, 2013",2,3
"Jan 21, 2013",2,4
"Jan 25, 2013",2,3
"Jan 29, 2013",2,4
"Feb 2, 2013",2,3
"Feb 6, 2013",2,3
"Feb 10, 2013",3,3
"Feb 14, 2013",2,4
"Feb 18, 2013",2,2
"Feb 22, 2013",2,7
"Feb 26, 2013",2,7
"Mar 2, 2013",2,9
"Mar 6, 2013",2,10
"Mar 10, 2013",2,18
"Mar 14, 2013",2,11
"Mar 18, 2013",2,10
"Mar 22, 2013",2,6
"Mar 26, 2013",2,8
"Mar 30, 2013",2,6
"Apr 3, 2013",2,8
"Apr 7, 2013",2,10
"Apr 11, 2013",2,10
"Apr 15, 2013",2,10
"Apr 19, 2013",2,7
"Apr 23, 2013",1,8
"Apr 27, 2013",2,7
"May 1, 2013",2,6
"May 5, 2013",2,6
"May 9, 2013",1,5
"May 13, 2013",1,4
"May 17, 2013",2,5
"May 21, 2013",2,4
"May 25, 2013",2,5
"May 29, 2013",2,5
"Jun 2, 2013",2,4
"Jun 6, 2013",3,3
"Jun 10, 2013",2,3
"Jun 14, 2013",3,3
"Jun 18, 2013",3,3
"Jun 22, 2013",3,3
"Jun 26, 2013",3,3
"Jun 30, 2013",3,3
"Jul 4, 2013",3,3
"Jul 8, 2013",3,3
"Jul 12, 2013",4,3
"Jul 16, 2013",3,3
"Jul 20, 2013",5,3
"Jul 24, 2013",7,3
"Jul 28, 2013",6,2
"Aug 1, 2013",7,3
"Aug 5, 2013",9,2
"Aug 9, 2013",10,2
"Aug 13, 2013",10,3
"Aug 17, 2013",9,2
"Aug 21, 2013",3,2
"Aug 25, 2013",10,2
"Aug 29, 2013",9,2
"Sep 2, 2013",10,3
"Sep 6, 2013",10,3
"Sep 10, 2013",10,3
"Sep 14, 2013",10,3
"Sep 18, 2013",13,2
"Sep 22, 2013",10,2
"Sep 26, 2013",12,2
"Sep 30, 2013",10,3
"Oct 4, 2013",10,2
"Oct 8, 2013",8,2
"Oct 12, 2013",7,2
"Oct 16, 2013",6,2
"Oct 20, 2013",5,2
"Oct 24, 2013",5,2
"Oct 28, 2013",5,2
"Nov 1, 2013",4,2
"Nov 5, 2013",4,2
"Nov 9, 2013",3,2
"Nov 13, 2013",3,2
"Nov 17, 2013",3,2
"Nov 21, 2013",2,2
"Nov 25, 2013",2,2
"Nov 29, 2013",2,2
"Dec 3, 2013",2,3
"Dec 7, 2013",3,4
"Dec 11, 2013",3,4
"Dec 15, 2013",2,4
"Dec 19, 2013",2,5
"Dec 23, 2013",3,2
"Dec 27, 2013",2,5
"Dec 31, 2013",2,5
"Jan 1, 2014",2,5
"Jan 5, 2014",3,4
"Jan 9, 2014",2,3
"Jan 13, 2014",2,3
"Jan 17, 2014",2,3
"Jan 21, 2014",2,7
"Jan 25, 2014",3,4
"Jan 29, 2014",2,10
"Feb 2, 2014",7,7
"Feb 6, 2014",2,7
"Feb 10, 2014",2,7
"Feb 14, 2014",3,9
"Feb 18, 2014",2,10
"Feb 22, 2014",2,8
"Feb 26, 2014",2,6
"Mar 2, 2014",2,7
"Mar 6, 2014",2,7
"Mar 10, 2014",3,8
"Mar 14, 2014",2,7
"Mar 18, 2014",2,7
"Mar 22, 2014",2,10
"Mar 26, 2014",1,9
"Mar 30, 2014",2,7
"Apr 3, 2014",2,9
"Apr 7, 2014",3,11
"Apr 11, 2014",5,10
"Apr 15, 2014",6,10
"Apr 19, 2014",7,8
"Apr 23, 2014",6,9
"Apr 27, 2014",6,9
"May 1, 2014",6,7
"May 5, 2014",7,7
"May 9, 2014",6,7
"May 13, 2014",7,7
"May 17, 2014",6,6
"May 21, 2014",6,6
"May 25, 2014",7,5
"May 29, 2014",7,5
"Jun 2, 2014",10,4
"Jun 6, 2014",10,3
"Jun 10, 2014",9,5
"Jun 14, 2014",10,3
"Jun 18, 2014",10,4
"Jun 22, 2014",7,4
"Jun 26, 2014",12,4
"Jun 30, 2014",10,4
"Jul 4, 2014",11,4
"Jul 8, 2014",14,3
"Jul 12, 2014",11,3
"Jul 16, 2014",11,3
"Jul 20, 2014",10,3
"Jul 24, 2014",8,3
"Jul 28, 2014",10,3
"Aug 1, 2014",10,3
"Aug 5, 2014",11,3
"Aug 9, 2014",9,3
"Aug 13, 2014",9,4
"Aug 17, 2014",7,3
"Aug 21, 2014",7,3
"Aug 25, 2014",8,3
"Aug 29, 2014",7,2
"Sep 2, 2014",10,3
"Sep 6, 2014",6,3
"Sep 10, 2014",7,3
"Sep 14, 2014",7,3
"Sep 18, 2014",7,2
"Sep 22, 2014",6,3
"Sep 26, 2014",7,3
"Sep 30, 2014",7,3
"Oct 4, 2014",5,3
"Oct 8, 2014",5,3
"Oct 12, 2014",4,2
"Oct 16, 2014",5,3
"Oct 20, 2014",4,3
"Oct 24, 2014",3,3
"Oct 28, 2014",3,2
"Nov 1, 2014",4,3
"Nov 5, 2014",2,2
"Nov 9, 2014",3,3
"Nov 13, 2014",2,3
"Nov 17, 2014",2,3
"Nov 21, 2014",2,2
"Nov 25, 2014",3,2
"Nov 29, 2014",2,2
"Dec 3, 2014",2,2
"Dec 7, 2014",2,3
"Dec 11, 2014",2,3
"Dec 15, 2014",3,5
"Dec 19, 2014",2,3
"Dec 23, 2014",3,3
"Dec 27, 2014",2,9
"Dec 31, 2014",2,2
"Jan 1, 2015",2,2
"Jan 5, 2015",2,2
"Jan 9, 2015",1,7
"Jan 13, 2015",2,10
"Jan 17, 2015",2,6
"Jan 21, 2015",2,8
"Jan 25, 2015",2,7
"Jan 29, 2015",2,8
"Feb 2, 2015",2,9
"Feb 6, 2015",2,8
"Feb 10, 2015",2,11
"Feb 14, 2015",2,11
"Feb 18, 2015",2,8
"Feb 22, 2015",5,12
"Feb 26, 2015",3,6
"Mar 2, 2015",3,13
"Mar 6, 2015",2,13
"Mar 10, 2015",2,11
"Mar 14, 2015",2,7
"Mar 18, 2015",2,8
"Mar 22, 2015",2,8
"Mar 26, 2015",2,7
"Mar 30, 2015",2,5
"Apr 3, 2015",2,6
"Apr 7, 2015",2,5
"Apr 11, 2015",2,5
"Apr 15, 2015",2,5
"Apr 19, 2015",2,5
"Apr 23, 2015",2,5
"Apr 27, 2015",1,4
"May 1, 2015",3,5
"May 5, 2015",3,3
"May 9, 2015",1,4
"May 13, 2015",3,3
"May 17, 2015",3,3
"May 21, 2015",3,3
"May 25, 2015",3,4
"May 29, 2015",2,3
"Jun 2, 2015",3,3
"Jun 6, 2015",3,3
"Jun 10, 2015",3,3
"Jun 14, 2015",6,3
"Jun 18, 2015",3,3
"Jun 22, 2015",3,3
"Jun 26, 2015",4,3
"Jun 30, 2015",7,3
"Jul 4, 2015",5,3
"Jul 8, 2015",6,3
"Jul 12, 2015",1,3
"Jul 16, 2015",6,3
"Jul 20, 2015",5,3
"Jul 24, 2015",6,3
"Jul 28, 2015",7,3
"Aug 1, 2015",1,3
"Aug 5, 2015",6,2
"Aug 9, 2015",7,2
"Aug 13, 2015",10,3
"Aug 17, 2015",10,2
"Aug 21, 2015",12,2
"Aug 25, 2015",10,2
"Aug 29, 2015",15,3
"Sep 2, 2015",15,3
"Sep 6, 2015",18,3
"Sep 10, 2015",16,3
"Sep 14, 2015",16,2
"Sep 18, 2015",17,3
"Sep 22, 2015",17,3
"Sep 26, 2015",15,3
"Sep 30, 2015",15,2
"Oct 4, 2015",17,2
"Oct 8, 2015",13,3
"Oct 12, 2015",10,3
"Oct 16, 2015",11,2
"Oct 20, 2015",7,3
"Oct 24, 2015",6,3
"Oct 28, 2015",6,3
"Nov 1, 2015",5,5
"Nov 5, 2015",5,2
"Nov 9, 2015",4,2
"Nov 13, 2015",4,6
"Nov 17, 2015",4,2
"Nov 21, 2015",5,2
"Nov 25, 2015",4,2
"Nov 29, 2015",2,3
"Dec 3, 2015",3,2
"Dec 7, 2015",3,2
"Dec 11, 2015",3,2
"Dec 15, 2015",3,2
"Dec 19, 2015",3,1
"Dec 23, 2015",2,2
"Dec 27, 2015",3,3
"Dec 31, 2015",2,2
"Jan 1, 2016",1,3
"Jan 5, 2016",3,4
"Jan 9, 2016",2,5
"Jan 13, 2016",3,4
"Jan 17, 2016",2,6
"Jan 21, 2016",2,6
"Jan 25, 2016",3,7
"Jan 29, 2016",3,7
"Feb 2, 2016",5,7
"Feb 6, 2016",6,7
"Feb 10, 2016",5,10
"Feb 14, 2016",6,7
"Feb 18, 2016",5,7
"Feb 26, 2016",5,9
"Mar 1, 2016",5,9
"Mar 5, 2016",4,8
"Mar 9, 2016",3,9
"Mar 13, 2016",5,9
"Mar 17, 2016",5,9
"Mar 21, 2016",3,10
"Mar 25, 2016",3,7
"Mar 29, 2016",3,8
"Apr 2, 2016",2,8
"Apr 6, 2016",2,7
"Apr 10, 2016",2,6
"Apr 14, 2016",3,6
"Apr 18, 2016",2,6
"Apr 22, 2016",3,5
"Apr 26, 2016",2,11
"Apr 30, 2016",3,5
"May 4, 2016",3,5
"May 8, 2016",1,4
"May 12, 2016",5,5
"May 16, 2016",7,5
"May 20, 2016",6,4
"May 24, 2016",12,3
"May 28, 2016",10,5
"Jun 1, 2016",7,8
"Jun 5, 2016",3,4
"Jun 9, 2016",9,5
"Jun 13, 2016",10,4
"Jun 17, 2016",1,3
"Jun 21, 2016",9,3
"Jun 25, 2016",7,3
"Jun 29, 2016",7,4
"Jul 3, 2016",8,3
"Jul 7, 2016",7,3
"Jul 11, 2016",15,3
"Jul 15, 2016",11,3
"Jul 19, 2016",7,3
"Jul 23, 2016",10,3
"Jul 27, 2016",3,3
"Jul 31, 2016",12,3
"Aug 4, 2016",9,3
"Aug 8, 2016",11,3
"Aug 12, 2016",11,5
"Aug 16, 2016",12,2
"Aug 20, 2016",7,2
"Aug 24, 2016",12,3
"Aug 28, 2016",14,3
"Sep 1, 2016",3,2
"Sep 5, 2016",12,3
"Sep 9, 2016",14,2
"Sep 13, 2016",14,3
"Sep 17, 2016",4,2
"Sep 21, 2016",14,3
"Sep 25, 2016",16,3
"Sep 29, 2016",14,3
"Oct 3, 2016",18,5
"Oct 7, 2016",13,3
"Oct 11, 2016",16,2
"Oct 15, 2016",13,3
"Oct 19, 2016",13,3
"Oct 23, 2016",15,3
"Oct 27, 2016",13,4
"Oct 31, 2016",11,2
"Nov 4, 2016",10,2
"Nov 8, 2016",8,3
"Nov 12, 2016",9,3
"Nov 16, 2016",7,2
"Nov 20, 2016",7,2
"Nov 24, 2016",7,2
"Nov 28, 2016",6,4
"Dec 2, 2016",5,2
"Dec 6, 2016",5,2
"Dec 10, 2016",5,3
"Dec 14, 2016",5,3
"Dec 18, 2016",5,2
"Dec 22, 2016",5,1
"Dec 26, 2016",3,2
"Dec 30, 2016",4,1
"Jan 1, 2017",3,2
"Jan 5, 2017",3,2
"Jan 9, 2017",4,3
"Jan 13, 2017",3,2
"Jan 17, 2017",2,4
"Jan 21, 2017",3,4
"Jan 25, 2017",4,6
"Jan 29, 2017",3,9
"Feb 2, 2017",3,10
"Feb 6, 2017",3,5
"Feb 10, 2017",2,4
"Feb 14, 2017",3,10
"Feb 18, 2017",3,10
"Feb 22, 2017",3,12
"Feb 26, 2017",3,13
"Mar 2, 2017",3,15
"Mar 6, 2017",3,16
"Mar 10, 2017",2,10
"Mar 14, 2017",2,13
"Mar 18, 2017",3,13
"Mar 22, 2017",2,10
"Mar 26, 2017",3,12
"Mar 30, 2017",3,11
"Apr 3, 2017",3,10
"Apr 7, 2017",2,9
"Apr 11, 2017",3,9
"Apr 15, 2017",2,9
"Apr 19, 2017",2,10
"Apr 23, 2017",2,10
"Apr 27, 2017",3,7
"May 1, 2017",3,8
"May 5, 2017",3,9
"May 9, 2017",3,7
"May 13, 2017",3,7
"May 17, 2017",3,7
"May 21, 2017",5,7
"May 25, 2017",3,6
"May 29, 2017",5,6
"Jun 2, 2017",5,6
"Jun 6, 2017",6,6
"Jun 10, 2017",5,6
"Jun 14, 2017",5,5
"Jun 18, 2017",5,5
"Jun 22, 2017",5,5
"Jun 26, 2017",5,5
"Jun 30, 2017",5,5
"Jul 4, 2017",5,5
"Jul 8, 2017",5,5
"Jul 12, 2017",5,5
"Jul 16, 2017",5,5
"Jul 20, 2017",6,5
"Jul 24, 2017",5,5
"Jul 28, 2017",6,5
"Aug 1, 2017",6,5
"Aug 5, 2017",6,5
"Aug 9, 2017",6,5
"Aug 13, 2017",6,5
"Aug 17, 2017",7,5
"Aug 21, 2017",8,5
"Aug 25, 2017",7,5
"Aug 29, 2017",6,5
"Sep 2, 2017",5,4
"Sep 6, 2017",7,4
"Sep 10, 2017",7,5
"Sep 14, 2017",4,5
"Sep 18, 2017",7,4
"Sep 22, 2017",7,5
"Sep 26, 2017",4,5
"Sep 30, 2017",5,5
"Oct 4, 2017",5,5
"Oct 8, 2017",4,5
"Oct 12, 2017",4,4
"Oct 16, 2017",4,5
"Oct 20, 2017",7,4
"Oct 24, 2017",4,5
"Oct 28, 2017",3,5
"Nov 1, 2017",2,5
"Nov 5, 2017",2,5
"Nov 9, 2017",3,6
"Nov 13, 2017",4,3
"Nov 17, 2017",2,3
"Nov 21, 2017",3,3
"Nov 25, 2017",3,5
"Nov 29, 2017",3,4
"Dec 3, 2017",2,6
"Dec 7, 2017",3,5
"Dec 11, 2017",3,5
"Dec 15, 2017",2,4
"Dec 19, 2017",4,4
"Dec 23, 2017",5,4
"Dec 27, 2017",6,4
